"階層","大項目","中項目","小項目","背景","目的","ゴール"
"小項目","人事制度・目標管理","制度の設計","評価・目標管理制度の設計(評価サイクル・目標接続・処遇連動)","個人の評価期間が1〜12月なのに対し会社の期初が7月で、会社の方向性と個人の目標にずれが生じやすい。また、目標設定は「やったこと」の事後報告に形骸化して経営目標との連動が薄く、評価結果と処遇の関係も未整理である","「会社の目標がどう個人に降り、何がどの処遇(賞与/昇給昇格)に反映されるのか」を一つのサイクルとして設計し、評価への納得感と目標の実効性の土台を作る","2026年12月末までに、経営目標(KGI→KSF→KPI)から個人目標への接続フロー・フォーマットと、半期ごとの目標管理(MBO・賞与連動)+年間の行動評価(コアバリュー・テクニカルスキル)を組み合わせた評価サイクル(1月・7月の目標設定、6月・12月の振り返り1on1)の設計・全社説明が完了している状態"
"中項目","人事制度・目標管理","制度の運用","―","これまで目標設定・評価は形骸化しており、制度を設計しても運用が回らなければ同じことが繰り返される","設計した制度を初年度からエラーなく回し切ることで「制度は本当に運用される」という信頼を作り、形骸化への逆戻りを防ぐ","2027年6月末までに、2027年1月の目標設定から6月の振り返り1on1・半期評価までの初回半期サイクルが全部門でスケジュール通り完走し、評価結果が新制度で初めて給与に関わる賞与(2027年1〜6月期の目標管理に基づく賞与)へ反映できる状態で確定している状態"
"小項目","人事制度・目標管理","制度の運用","目標設定の運用(期初オペレーション)","新設計の目標接続フローは初回運用であり、各部門・各自任せでは従来の形骸化した目標設定に戻るリスクが高い","初回の目標設定を人事が主導・伴走することで、経営目標と接続した目標設定を全部門に定着させ、以降の半期が自走できる型を作る","2027年1月末までに、人事主導の目標設定運用(説明会・設定ガイド・提出管理・内容レビュー)によって、全部門で経営目標と接続した半期目標の設定が完了している状態"
"小項目","人事制度・目標管理","制度の運用","評価・処遇反映の運用(期中〜期末オペレーション)","評価者のスキルやスケジュール遵守、評価結果の処遇への反映が計画通り回るかが、新サイクル初年度の最大のリスク","1on1・評価の初回運用を人事が運営・管理してエラーなく完走させ、新制度で最初の処遇反映となる賞与査定に耐える公正な評価結果を揃える","2027年6月末までに、振り返り1on1と半期評価(MBO・行動評価)が全部門でスケジュール通り完了し、新制度で最初に給与へ反映される賞与(2027年1〜6月期の目標管理に基づく賞与)の査定に使える状態で評価結果が確定している状態"
"大項目","採用","―","―","希望退職による欠員と幹部不足に対し、部門ごとにバラバラの採用活動では必要な人材確保が間に合わない","新体制の稼働に必要な人材を期限までに確実に確保し、欠員と幹部不足(兼任)による組織運営リスクを解消する。あわせて、部門ごとにバラついていた採用の質と現場負荷を全社共通の仕組みで是正し、採用のスピードと質を高める","2026年10月までに一元化された採用体制が稼働し、2026年12月末までに欠員ポジション、2027年3月末までにMG・部長クラスの内定承諾が完了している状態"
"中項目","採用","採用体制の確立","―(小項目なし)","各部門(営業や講師など)が独自に面接・採用処理を行っており、選考基準のバラつきと現場の業務負荷が発生している。また、2026年7月中の管理部長入社合否によって推進体制が分岐する(内製 or RPO)ため、両にらみの検討が必要な状況にある","採用の質と負荷を部門任せにせず、実行力のある推進体制と全社共通の基準・フローを整えることで、この後の採用実行(幹部・欠員の充足)のスピードと質を担保する","2026年8月末までに内製/RPOの判断が確定し、2026年9月末までに各部門から人事本部への採用機能の移管と統一採用基準・選考フローの策定が完了し、2026年10月から一元化された採用推進体制が稼働している状態"
"中項目","採用","採用の実行(ポジション充足)","―","希望退職により社員数が大幅に減る見込みで、幹部層(MG・部長)とメンバー層の両方で欠員が発生している","新体制の稼働に必要な人員を対象層ごとに期限までに確保し、組織運営のリスクを解消する","2026年12月末までに欠員ポジション全件、2027年3月末までに不足するMG・部長クラスの内定承諾が完了している状態"
"小項目","採用","採用の実行(ポジション充足)","MG・部長クラスの採用","MG・部長クラスが不足しており、複数の部長が課長を兼任せざるを得ない「一人二役」の組織運営リスクが生じている","現場を牽引するMG・部長クラスを外部から獲得し、部長を兼任から解放して本来の部門戦略・幹部業務に専念できる体制を取り戻す","2027年3月末までに不足するMG・部長クラス全ポジションで内定承諾を獲得し、2027年4月の新体制で兼任解消の目処が立っている状態"
"小項目","採用","採用の実行(ポジション充足)","欠員補充(メンバークラス)","希望退職の実施により確定した最終退職者数に応じた現場の欠員補充が不可欠","新体制の稼働に支障をきたさないよう、確定欠員枠に対してターゲット層をスピーディーに獲得する","2026年12月末までに、希望退職による確定欠員のすべての対象ポジションで内定承諾を獲得できている状態"
"大項目","組織開発(新組織の立ち上げ)","―","―","11月の新組織移行・人員適正化に伴い、部門間連携のルール不在と組織の揺らぎという2つのリスクを同時に抱えている","新組織の立ち上げ期に起こりがちな連携不全と求心力の低下を防ぎ、組織変更の狙いである部門を越えた協働を実際の行動として定着させる。これにより、縮小した人員でも研修提供の品質とスピードを落とさずに事業を運営できるようにする","2026年12月末までに新組織での役割分担・連携ルールが合意されて幹部合宿と定例の全社会議による上層部の結束・連携が立ち上がり、2027年6月末までに幹部からの発信と社員アンケート(2回)によるミッション浸透の取り組みが一巡している状態"
"中項目","組織開発(新組織の立ち上げ)","役割・責任の明確化(ハード面)","―(小項目なし)","研修案件を回す際、営業・開発・運用の役割や責任範囲が曖昧なため、部署間での責任転嫁や揉め事、それに伴うミスやお客様の信頼を失う事案が発生している。11月発足の新組織では部門構成も変わるため、新組織を前提とした役割分担の再定義が必要である","新組織における各部門の役割分担を明確にし、部門間連携を「善意」でなく「ルール」で成立させることで、社内の責任の押し付け合いをなくす。それにより、研修提供会社としてお客様に高品質な研修を安定してお届けできるようにする","2026年12月末までに、提案・受注から研修実施までの標準プロセスと新組織における各部門の役割(誰が主導し、誰が支援するか)、および標準から外れる案件の裁定ルート(例外時に誰が決めるか)が明文化され、関係部門の合意を得ている状態"
"中項目","組織開発(新組織の立ち上げ)","上層部の結束と連携(ソフト面:幹部層)","―","新組織の発足に向け、これまで未実施だった課長以上の幹部合同での目線合わせの場と、上層部が部門を越えて日常的に連携する定例の場の両方が不足している","幹部が一枚岩となって新組織を牽引し、部門間の調整・連携が上層部レベルで日常的に行われる状態を作る","2026年12月末までに幹部合宿が完了して幹部間の目線と行動指針が揃い、上層部の定例連携会議として刷新された全社会議が月次で運営されている状態"
"小項目","組織開発(新組織の立ち上げ)","上層部の結束と連携(ソフト面:幹部層)","幹部合宿の企画・実施","幹部間で新体制の目線と戦略への理解を一致させる場がこれまで存在しなかった","外部パートナーの力を借りて幹部間の目線と戦略への理解を一致させ、一枚岩となって組織を牽引する土台を作る","2026年11月末までに幹部合宿(9〜11月)の企画・実施が完了し、幹部間の目線と行動指針が揃っている状態"
"小項目","組織開発(新組織の立ち上げ)","上層部の結束と連携(ソフト面:幹部層)","全社会議の再構築(上層部の定例連携会議)","これまでの全社会議は部門間の連携不足を解消する場になっておらず、上層部が部門対部門で直接対話できる内容(BOR等)への刷新が求められている。なお全社会議は上層部のみが参加する会議であり、全社員への浸透の場ではない","上層部が月次で戦略の進捗と部門間の調整事項を直接すり合わせる場を作り、現場レベルの連携不足の解消を上層部から後押しする","2026年11月の新組織移行と同時に、人事主導で刷新した全社会議(上層部の定例連携会議)がスタートし、2027年6月末まで月次で運営されている状態"
"中項目","組織開発(新組織の立ち上げ)","全社員へのミッション浸透(ソフト面:全社員層)","―","人員適正化や11月の新体制移行に伴う組織の揺らぎに対し、全社的な再結束とミッションの浸透を図る必要がある。ただし全社員が一堂に会する場はないため、浸透は各部門での幹部からの発信が主経路になる","全社員が会社のミッションと新体制の方向性を理解し、前向きに業務に取り組める環境条件を整える","2026年12月末までに全幹部からの自部門への発信と初回の社員アンケートが完了し、2027年6月末までに改善アクションの実行と2回目アンケートによる変化の確認まで完了している状態"
"小項目","組織開発(新組織の立ち上げ)","全社員へのミッション浸透(ソフト面:全社員層)","幹部からのミッション・戦略発信(言語化と現場への発信)","合宿で目線が揃っても、幹部が自部門へ発信しなければ現場には届かない。全社員が集まる場がない以上、ミッションと新体制の方向性の浸透は各部門での幹部からの発信に懸かっている","幹部が新体制の戦略とミッションを自らの言葉で繰り返し語ることで、全社員の理解と自分ごと化を進める","2026年12月末までに、合宿で揃えた戦略・行動指針が言語化され、全幹部が自部門への発信を完了している状態"
"小項目","組織開発(新組織の立ち上げ)","全社員へのミッション浸透(ソフト面:全社員層)","社員アンケートによる実態把握(エンゲージメントの見える化)","人員適正化後の社員の士気や会社への信頼がどうなっているかを把握する手段がなく、ミッション浸透や制度改革の効果も感覚でしか判断できない","全社員への匿名アンケート(ミッションへの共感・働きがい・会社への信頼などを5段階で回答)で組織の状態を数値化し、スコアの低い部署・項目を特定して次の打ち手につなげる","2026年12月末までに初回アンケート(設問設計→実施→部署別集計→幹部への結果共有)が完了し、2027年6月末までに改善アクションの実行と2回目アンケートでの変化確認まで完了している状態"
"大項目","育成","―","―","オンボーディング・管理職教育・後継者育成のいずれも仕組みが存在せず、人が育つかどうかが偶然と個人任せになっている","【つくりたい状態】入社者から幹部後継者まで、各階層に「育つ仕組み」があり、人が偶然でなく計画的に育つ状態","2026年11月の新組織移行までに再配属者、2026年12月末までに中途入社者の受け入れの型が稼働し、2027年3月末までに管理職の育成体系・キーパーソンの後継者育成計画・オンボーディングの標準ロードマップが完成、2027年4月の新体制発足と同時に全ての育成施策が本格運用されている状態"
"中項目","育成","オンボーディングの構築(入社者・再配属者)","―","2026年11月の新組織移行と2027年1〜3月に集中する中途入社に対し、社内にオンボーディングの仕組みやノウハウが一切存在しない","「何から始めればよいか」に迷わない標準的な育成ロードマップにより、対象者が2〜3ヶ月(目安。適正水準は運用で検証)で自立して業務を行える状態を得る","2026年11月の新組織移行までに再配属者向けが、2026年12月末までに中途入社者向けの受け入れの型が整って対象者への適用が始まり、2027年3月末までに職種別の標準育成ロードマップまで完成している状態"
"小項目","育成","オンボーディングの構築(入社者・再配属者)","中途入社者向けオンボーディングの設計","中途入社者は職種スキルはあるが「自社のカルチャー・独自のシステム・社内ルールが分からない」状態で孤立しやすい。加えて、欠員補充の内定承諾が2026年12月末に集中するため入社は2027年1〜3月に集中する見込みで、4月からの運用開始では最大のヤマに間に合わない","入社のヤマに間に合う形で受け入れの型を先に整え、早期にパフォーマンスを発揮し定着できるようにすることで、採用にかけた投資を確実に回収する","2026年12月末までに受け入れの型(入社手続き・アカウント準備・社内ルール集・メンター指名・初月の面談設定)を整えて2027年1月以降の入社者全員に適用を開始し、初期運用で得た課題を反映して2027年3月末までに職種別の標準育成ロードマップを完成させ、2027年4月から本格運用している状態"
"小項目","育成","オンボーディングの構築(入社者・再配属者)","再配属者(職種転換者)向けオンボーディングの設計","再配属者は「会社は知っているが、新しい職種の専門知識や実務の進め方が分からない」状態で、職種転換に寄り添う支援が必要","新しい役割での早期戦力化を支援し、新組織移行の生産性低下を最小限に抑える","2026年11月の新組織移行までに再配属者向け育成ロードマップが整備され、移行と同時に対象者全員への適用が始まっている状態"
"中項目","育成","管理職の育成体系の設計","―","管理職にあるべき能力定義が存在せず、十分な教育のないまま昇格が行われ、実力と等級水準のミスマッチが生じている","「定義→育成→昇格」の順序を確立し、管理職の職能を全社的に均一化する","2027年3月末までに管理職の能力定義と研修プログラムが完成し、2027年4月の新体制発足と同時に運用開始している状態"
"小項目","育成","管理職の育成体系の設計","管理職の能力定義","管理職に求められる能力の定義がないため、昇格判断の基準がなく、育成のゴールも定まらない","定義ありきでの昇格・育成を可能にし、適正な昇格判断の基準を得る(等級制度の刷新と整合させる)","2026年12月末までに管理職の能力定義が完了し、等級制度の職種別定義と整合が取れている状態"
"小項目","育成","管理職の育成体系の設計","管理職研修プログラムの設計","管理職候補・現任者が能力を身につけるための教育機会が存在しない","定義した能力を身につける手段を提供し、昇格前後の実力ギャップを埋める","2027年3月末までに能力定義に基づく研修プログラムの設計が完了し、2027年4月の新体制発足と同時に運用開始している状態"
"中項目","育成","キーパーソンの後継者育成","―","能力が高く余人をもって代えがたい人材が、年齢的な制限によりあと数年で会社を離れる見込みである。その人が持つ知識・スキル・顧客や社内の関係性が引き継がれないまま失われるリスクがある","キーパーソンが在職しているうちに後継者を決めて計画的に引き継ぐことで、その人の退任によって業務・顧客関係・技術が失われる事態を防ぐ","2027年3月末までに対象となるキーパーソンと後継者候補の特定、および引き継ぎ・育成ロードマップの策定が完了し、2027年4月から運用開始している状態"
"小項目","育成","キーパーソンの後継者育成","キーパーソンと後継者候補の特定","誰が何年後に会社を離れ、その人の何が失われるのかが整理されていない。後継者候補も特定されていない","引き継ぎリスクの所在(誰の・何が)を特定し、育成投資を集中させる対象を確定する","2026年12月末までに、数年内に退任が見込まれるキーパーソンと、その人が担う代替困難な役割・知識・関係性の棚卸し、および後継者候補の選定が完了している状態"
"小項目","育成","キーパーソンの後継者育成","引き継ぎ・育成ロードマップの策定","候補を決めるだけでは引き継がれない。本人が在職しているうちに「何を・いつまでに・どう移すか」の計画が必要である","キーパーソンの在職中に引き継ぎを完了させ、退任時に業務や関係性の空白が生じないようにする","2027年3月末までに後継者ごとの引き継ぎ・育成ロードマップ(移す対象・期限・進め方)の策定が完了し、2027年4月から運用開始している状態"
